uid,nom,prenom,groupe
PA1498,Goasguen,Claude,LR
PA1960,Leroy,Maurice,UDI
PA2086,Marlin,Franck,LR
PA266774,Furst,Laurent,LR
PA267233,Bouillon,Christophe,PS
PA267241,Demilly,Stéphane,UDI
PA267336,Giraud,Joël,LREM
PA267585,Vercamer,Francis,UDI
PA267673,Folliot,Philippe,LREM
PA267801,Jégo,Yves,UDI
PA2792,Taugourdeau,Jean-Charles,LR
PA330357,Dussopt,Olivier,PS
PA330684,Boyer,Valérie,LR
PA331567,de La Raudière,Laure,AE
PA334149,Fasquelle,Daniel,LR
PA334654,Straumann,Éric,LR
PA334843,Verchère,Patrice,LR
PA335532,Pau-Langevin,George,PS
PA335758,Riester,Franck,AE
PA340853,Leclerc,Sébastien,LR
PA346218,Masson,Jean-Louis,LR
PA429893,Carvounas,Luc,PS
PA441,Bello,Huguette,GDR
PA563,Bompard,Jacques,NI
PA588886,Le Foll,Stéphane,PS
PA606212,Collard,Gilbert,NI
PA606675,André,François,LREM
PA606712,Lurton,Gilles,LR
PA608011,Pueyo,Joaquim,PS
PA608083,Bourguignon,Brigitte,LREM
PA609245,Lacroute,Valérie,LR
PA609520,Pompili,Barbara,LREM
PA610681,Bareigts,Ericka,PS
PA610733,Robert,Thierry,Modem
PA642788,Véran,Olivier,LREM
PA693008,Polutele,Napole,UDI
PA717151,de Sarnez,Marielle,Modem
PA718706,Fontaine-Domeizel,Emmanuelle,LREM
PA719664,Lavergne,Pascal,LREM
PA719806,Auconie,Sophie,UDI
PA719910,Belhamiti,Mounir,LREM
PA719938,Fesneau,Marc,Modem
PA720002,El Haïry,Sarah,Modem
PA720198,Galbadon,Grégory,LREM
PA720242,Abba,Bérangère,LREM
PA720512,Pietraszewski,Laurent,LREM
PA720798,Aliot,Louis,NI
PA720924,Elimas,Nathalie,Modem
PA721564,Fajgeles,Élise,LREM
PA721670,de Montchalin,Amélie,LREM
PA721764,Grégoire,Olivia,LREM
PA721860,Cesarini,Jean-François,LREM
PA721876,Morenas,Adrien,LREM
PA721956,O,Delphine,LREM
PA721992,Gallerneau,Patricia,Modem
PA722054,Hai,Nadia,LREM
PA722078,Savatier,Jacques,LREM
PA722086,Taquet,Adrien,LREM
PA722190,Attal,Gabriel,LREM
PA722236,Djebbari,Jean-Baptiste,LREM
PA998,Dassault,Olivier,LR